type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906945.028,0.67397,0.07007,0.59063,-0.01570,0.00000,0.24653,0.68751,0.40407,10.82664,3.30000,1,66.00000
1740906945.039,0.68448,0.10026,0.26362,0.03140,4.71000,0.24354,0.68273,0.44179,10.77901,3.30000,1,66.00000
1740906945.050,0.69570,0.13411,-0.37659,0.12560,9.42000,0.22966,0.59703,0.48914,10.86258,3.30000,1,66.00000
1740906945.060,0.70541,0.14374,-0.52989,0.15700,3.14000,0.21400,0.50359,0.53409,10.90818,3.30000,1,66.00000
1740906945.070,0.71590,0.17078,0.19196,0.23550,7.85000,0.21231,0.49881,0.58392,10.95566,3.30000,1,66.00000
1740906945.081,0.72708,0.19177,-0.36902,0.32970,9.42000,0.20103,0.42526,0.64183,11.09722,3.30000,1,66.00000
1740906945.091,0.73663,0.19323,-0.73591,0.36110,3.14000,0.18396,0.31909,0.69652,11.19792,3.30000,1,66.00000
1740906945.101,0.74713,0.19082,-0.64031,0.40820,4.71000,0.16958,0.23196,0.75081,11.27654,3.30000,1,66.00000
1740906945.112,0.75830,0.19209,-0.43187,0.47100,6.28000,0.15978,0.17452,0.80680,11.34805,3.30000,1,66.00000
1740906945.122,0.76787,0.21676,-1.38006,0.51810,4.71000,0.13401,0.01199,0.86311,11.45955,3.30000,1,66.00000
1740906945.133,0.77838,0.19466,-1.59125,0.53380,1.57000,0.10587,-0.16047,0.91388,11.51089,3.30000,1,66.00000
1740906945.144,0.78955,0.16897,-0.87411,0.61230,7.85000,0.09190,-0.24260,0.96878,11.55872,3.30000,1,66.00000
1740906945.153,0.79923,0.14476,-0.87804,0.64370,3.14000,0.07846,-0.31728,1.01983,11.55688,3.30000,1,66.00000
1740906945.164,0.80967,0.13699,-1.22064,0.67510,3.14000,0.05965,-0.42674,1.06828,11.55104,3.30000,1,66.00000
1740906945.175,0.82104,0.11380,-1.53451,0.75360,7.85000,0.03629,-0.57162,1.12211,11.61483,2.90537,1,58.00000
1740906945.185,0.83074,0.09604,-1.18386,0.76930,1.57000,0.02031,-0.66092,1.16921,11.57880,1.96289,1,39.00000
1740906945.197,0.84291,0.08594,-0.77697,0.81640,4.71000,0.01203,-0.67976,1.21513,11.38063,1.54429,1,30.00000
1740906945.207,0.85252,0.08419,-1.13932,0.86350,4.71001,-0.00302,-0.69752,1.25871,10.87773,0.80827,1,16.00000
1740906945.217,0.86281,0.08218,-1.42037,0.89490,3.14000,-0.02292,-0.73359,1.29594,10.25840,-0.55225,2,11.00000
1740906945.227,0.87236,0.07902,-1.00419,0.94200,4.70999,-0.03543,-0.69388,1.32809,9.40540,-1.05872,2,21.00000
1740906945.237,0.88283,0.07528,-0.96316,0.98910,4.71000,-0.04820,-0.60029,1.35356,8.13715,-1.46366,2,29.00000
1740906945.249,0.89436,0.07118,-0.77256,1.08330,9.42000,-0.05828,-0.49289,1.37881,6.87162,-1.71656,2,34.00000
1740906945.258,0.90399,0.06747,-1.25543,1.13040,4.71001,-0.07763,-0.44938,1.39673,5.60360,-2.57176,2,51.00000
1740906945.269,0.91472,0.05439,-0.96443,1.22460,9.42000,-0.09194,-0.38998,1.41573,4.43184,-3.15696,2,63.00000
1740906945.280,0.92606,0.04048,-0.97831,1.30310,7.84999,-0.10720,-0.31689,1.43284,3.10913,-3.30000,2,66.00000
1740906945.290,0.93548,0.03097,-0.71604,1.33450,3.14000,-0.11849,-0.20922,1.43963,1.66183,-3.30000,2,66.00000
1740906945.300,0.94585,0.02789,-0.77155,1.39730,6.28002,-0.13129,-0.13553,1.44353,0.35956,-3.30000,2,66.00000
1740906945.311,0.95734,0.02148,-0.57542,1.46010,6.27999,-0.14082,-0.06778,1.44557,-0.78045,-3.30000,2,66.00000
1740906945.321,0.96720,0.00135,-0.86799,1.47580,1.57000,-0.15584,-0.05559,1.44033,-1.80938,-3.30000,2,66.00000
